TUUB 	21 	Universitätsbibliothek Tübingen 	aktiv 	1
HDBSEW   	   16/66     Universität Heidelberg, Bibliothek des Instituts für Bildungswissenschaft                      aktiv          12
HDBSFB   	   16/151    Universität Heidelberg, Institut für Finanz- u. Steuerrecht / Forsch. Bundessteuergesetzbuch   aktiv          12
HDBSFG   	   16/52     Universität Heidelberg, Institut für Ur- und Frühgeschichte und Vorderasiatische Archäologie   aktiv          12
HDBSGE   	   16/34     Universität Heidelberg, Historisches Seminar                                                   aktiv          12
HDBSGG   	   16/35     Universität Heidelberg, Geographisches Institut                                                aktiv          12


HDBSGO   	   16/144   Universität Heidelberg, Institut für Gerontologie                                                     aktiv          12
HDBSGP   	   16/25    Universität Heidelberg, Institut für Geowissenschaften / Bibliothek des Instituts für                 aktiv          12
         	            Geowissenschaften
HDBSGR   	   16/47    Universität Heidelberg, Institut für Geschichtliche Rechtswissenschaft                                aktiv          12
HDBSGW   	   16/118   Universität Heidelberg, Institut für Deutsches und Europäisches Gesellschafts- und Wirtschaftsrecht   aktiv          12

HDBSHE   	   16/110   Universität Heidelberg, Kirchhoff-Institut für Physik, Abteilung Hochenergiephysik                    aktiv          12
HDBSHY   	   16/39    Universität Heidelberg, Hygiene-Institut der Universität, Abt. Hygiene u. Med. Mikrobiologie          aktiv          12
HDBSIP   	   16/14    Universität Heidelberg, Institut für Ausl. u. Internat. Privat- und Wirtschaftsrecht                  aktiv          12
HDBSIR   	   16/152   Universität Heidelberg, Institut für Religionswissenschaft                                            aktiv          12
HDBSIS   	   16/70    Universität Heidelberg, Institut für Immunologie der Universität                                      aktiv          12
HDBSJA   	   16/146   Universität Heidelberg, Institut für Japanologie                                                      aktiv          12
HDBSJC   	   16/158   Universität Heidelberg, Karl Jaspers Centre Library                                                   aktiv          12
HDBSJU   	   16/13    Universität Heidelberg, Bibliothek der Juristischen Fakultät                                          aktiv          12
HDBSKA   	   16/150   'Universität Heidelberg, Medizinische Klinik (Krehl-Klinik), Abteilung Innere Medizin II              aktiv          12
HDBSKI   	   16/127   Universität Heidelberg, Kunsthistorisches Inst. / Abt. für Iber. u. Ibero.-Amerikanische Kunst        aktiv          12
HDBSKO   	   16/100   Universität Heidelberg, Institut für Kunstgeschichte Ostasiens                                        aktiv          12
HDBSKP   	   16/33    Universität Heidelberg, Seminar für Klassische Philologie                                             aktiv          12
HDBSKU   	   16/26    Universität Heidelberg, Kunsthistorisches Institut der Universität, Europäische Abteilung             aktiv          12
HDBSLS   	   16/154   Landessternwarte, Heidelberg                                                                          aktiv          12
HDBSMA   	   16/7     Universität Heidelberg, Bibliothek der Fakultät für Mathematik und Informatik                         aktiv          12
HDBSMG   	   16/86    Universität Heidelberg, Institut für Geschichte und Ethik der Medizin                                 aktiv          12
HDBSML   	   16/98    Universität Heidelberg, Seminar für Lateinische Philologie des Mittelalters und der Neuzeit           aktiv          12
HDBSMU   	   16/28    Universität Heidelberg, Musikwissenschaftliches Seminar                                               aktiv          12
HDBSNS   	   16/137   Universität Heidelberg, Sektion Psychoonkologie - Klinik für Psychosomatische und Allgemeine          aktiv          12
         	            Klinische Medizin
HDBSOG   	   16/101   Universität Heidelberg, Seminar für Osteuropäische Geschichte                                         aktiv          12
HDBSOP   	   16/44    Universität Heidelberg, Stiftung Orthopädische Universitätsklinik                                     aktiv          12
HDBSOR   	   16/36    Universität Heidelberg, Seminar für Sprachen und Kulturen des Vorderen Orients                        aktiv          12
HDBSPA   	   16/41    Universität Heidelberg, Pathologisches Institut                                                       aktiv          12
HDBSPB   	   16/87    Universität Heidelberg, Bibliothek des IPMB Heidelberg, Abteilung Biologie                            aktiv          12
HDBSPG   	   16/54    Universität Heidelberg, Institut für Fränkisch-Pfälzische Geschichte und Landeskunde                  aktiv          12
HDBSPI   	   16/12    Universität Heidelberg, Philosophisches Seminar                                                       aktiv          12


HDBSPS   	   16/62    Bibliothek des Psychologischen Instituts der Universität Heidelberg                               aktiv          12
